觀光遊憩區別,門票收入,遊客人次,上年同月份遊客人次,增減數,成長率,備註
小人國企業股份有限公司,12911820,35881,45614,-9733,-21.34,門票
埔心牧場,7205259,50700,57811,-7111,-12.3,門票
小烏來風景特定區,0,"35,244","45,991",-10747,-23.37,電信數據人次推估
石門水庫,2221526,"206,376","273,572",-67196,-24.56,電信數據人次推估
慈湖,0,"243,964","278,710",-34746,-12.47,電信數據人次推估
角板山遊憩區,0,"69,917","97,722",-27805,-28.45,電信數據人次推估
虎頭山風景特定區,0,"284,401","345,205",-60804,-17.61,電信數據人次推估
竹圍漁港,0,"234,962","257,676",-22714,-8.81,電信數據人次推估
大溪老城區,0,"478,988","576,870",-97882,-16.97,電信數據人次推估
桃園市客家文化館,0,"47,326",61418,-14092,-22.94,人工估算
永安漁港,0,"225,380",224075,1305,0.58,電信數據人次推估
新屋綠色走廊,0,232586,261433,-28847,-11.03,電信數據人次推估
觀音蓮花園休閒農業區,0,172116,204812,-32696,-15.96,電信數據人次推估
龍潭大池,0,"272,321",314395,-42074,-13.38,電信數據人次推估
大溪月眉休閒農業區,0,143416,162281,-18865,-11.62,電信數據人次推估
拉拉山風景區,0,20492,35977,-15485,-43.04,電信數據人次推估
草漯沙丘地質公園,0,123334,156706,-33372,-21.3,電信數據人次推估
老街溪沿岸步道,0,831714,0,--,--,電信數據人次推估
八德埤塘自然生態公園,0,116983,0,--,--,電信數據人次推估
1895乙未保台紀念公園,0,128558,0,--,--,電信數據人次推估
